SRA Accession,BREED
SRR19364562,QUARTER HORSE
SRR19364563,QUARTER HORSE
SRR19364572,QUARTER HORSE
SRR19364590,QUARTER HORSE
SRR19364592,QUARTER HORSE
SRR6474900,QUARTER HORSE
SRR19364560,QUARTER HORSE
SRR19364573,QUARTER HORSE
SRR19364594,QUARTER HORSE
SRR19364595,QUARTER HORSE
SRR19364600,QUARTER HORSE
SRR19364604,QUARTER HORSE
SRR19364606,QUARTER HORSE
SRR19364607,QUARTER HORSE
SRR19364608,QUARTER HORSE
SRR19364609,QUARTER HORSE
SRR19364615,QUARTER HORSE
SRR19364618,QUARTER HORSE
SRR19364633,QUARTER HORSE
SRR19364634,QUARTER HORSE
SRR19364635,QUARTER HORSE
SRR19364637,QUARTER HORSE
SRR19364565,THOROUGHBRED
SRR19364589,THOROUGHBRED
SRR19364593,THOROUGHBRED
SRR515208,THOROUGHBRED
SRR515214,THOROUGHBRED
SRR19364567,THOROUGHBRED
SRR19364580,THOROUGHBRED
SRR19364581,THOROUGHBRED
SRR19364583,THOROUGHBRED
SRR19364584,THOROUGHBRED
SRR19364585,THOROUGHBRED
SRR19364586,THOROUGHBRED
SRR19364587,THOROUGHBRED
SRR19364602,THOROUGHBRED
SRR19364603,THOROUGHBRED
SRR19364605,THOROUGHBRED
SRR19364613,THOROUGHBRED
SRR19364619,THOROUGHBRED
SRR19364621,THOROUGHBRED
SRR19364622,THOROUGHBRED
SRR19364627,THOROUGHBRED
SRR20981598,ARABIAN
SRR20981599,ARABIAN
SRR20981600,ARABIAN
SRR20981611,ARABIAN
SRR6474895,ARABIAN
SRR6474897,ARABIAN
SRR20981622,ARABIAN
SRR6650581,ARABIAN
SRR6650583,ARABIAN
SRR6650662,ARABIAN
SRR6474898,ARABIAN
SRR5469032,ARABIAN
SRR5469031,ARABIAN
SRR5469030,ARABIAN
ERR953412,ARABIAN
SRR4054279,ARABIAN
SRR4054277,ARABIAN
SRR4054242,ARABIAN
SRR3726219,ARABIAN
SRR20981615,MONGOLIAN
SRR20981616,MONGOLIAN
SRR20981617,MONGOLIAN
SRR20981618,MONGOLIAN
SRR6474878,MONGOLIAN
SRR20981619,MONGOLIAN
SRR20981620,MONGOLIAN
SRR20981621,MONGOLIAN
SRR20981623,MONGOLIAN
SRR20981625,MONGOLIAN
SRR20981628,MONGOLIAN
SRR20981629,MONGOLIAN
SRR20981631,MONGOLIAN
SRR20981632,MONGOLIAN
SRR20981634,MONGOLIAN
SRR20981635,MONGOLIAN
SRR12719782,MONGOLIAN
SRR12719781,MONGOLIAN
ERR1527947,AKHAL-TEKE
ERR1527948,AKHAL-TEKE
ERR1527949,AKHAL-TEKE
ERR1527950,AKHAL-TEKE
SRR24676346,AKHAL-TEKE
SRR20981633,AKHAL-TEKE
SRR20981644,AKHAL-TEKE
SRR20981655,AKHAL-TEKE
SRR6474890,AKHAL-TEKE
SRR6474891,AKHAL-TEKE
