SRA_NO,BREED
SRR19364562,QUARTER HORSE
SRR19364563,QUARTER HORSE
SRR19364572,QUARTER HORSE
SRR19364590,QUARTER HORSE
SRR19364592,QUARTER HORSE
SRR6474900,QUARTER HORSE
SRR19364560,QUARTER HORSE
SRR19364573,QUARTER HORSE
SRR19364594,QUARTER HORSE
SRR19364595,QUARTER HORSE
SRR19364600,QUARTER HORSE
SRR19364604,QUARTER HORSE
SRR19364606,QUARTER HORSE
SRR19364607,QUARTER HORSE
SRR19364608,QUARTER HORSE
SRR19364609,QUARTER HORSE
SRR19364615,QUARTER HORSE
SRR19364618,QUARTER HORSE
SRR19364633,QUARTER HORSE
SRR19364634,QUARTER HORSE
SRR19364635,QUARTER HORSE
SRR19364637,QUARTER HORSE
SRR19364565,THOROUGHBRED
SRR19364589,THOROUGHBRED
SRR19364593,THOROUGHBRED
,
,
SRR19364567,THOROUGHBRED
SRR19364580,THOROUGHBRED
,
SRR19364583,THOROUGHBRED
SRR19364585,THOROUGHBRED
SRR19364586,THOROUGHBRED
SRR19364587,THOROUGHBRED
SRR19364602,THOROUGHBRED
SRR19364603,THOROUGHBRED
SRR19364605,THOROUGHBRED
SRR19364613,THOROUGHBRED
SRR19364619,THOROUGHBRED
SRR19364621,THOROUGHBRED
SRR19364622,THOROUGHBRED
SRR19364627,THOROUGHBRED
SRR20981598,ARABIAN
SRR20981599,ARABIAN
SRR20981600,ARABIAN
SRR20981611,ARABIAN
SRR6474895,ARABIAN
SRR6474897,ARABIAN
SRR20981622,ARABIAN
SRR6650581,ARABIAN
SRR6650662,ARABIAN
SRR6474898,ARABIAN
SRR5469032,ARABIAN
SRR5469031,ARABIAN
SRR5469030,ARABIAN
SRR4054279,ARABIAN
SRR4054277,ARABIAN
,
SRR20981615,MONGOLIAN
SRR20981616,MONGOLIAN
SRR20981617,MONGOLIAN
SRR20981618,MONGOLIAN
SRR6474878,MONGOLIAN
SRR20981619,MONGOLIAN
SRR20981620,MONGOLIAN
SRR20981621,MONGOLIAN
SRR20981623,MONGOLIAN
SRR20981625,MONGOLIAN
SRR20981628,MONGOLIAN
SRR20981629,MONGOLIAN
SRR20981631,MONGOLIAN
SRR20981632,MONGOLIAN
SRR20981634,MONGOLIAN
SRR20981635,MONGOLIAN
ERR1527947,AKHAL-TEKE
,
,
,
SRR20981633,AKHAL-TEKE
SRR20981644,AKHAL-TEKE
SRR20981655,AKHAL-TEKE
SRR6474890,AKHAL-TEKE
SRR6474891,AKHAL-TEKE
SRR20981666,AKHAL-TEKE
SRR20981667,AKHAL-TEKE
SRR6474892,AKHAL-TEKE
SRR20981658,FRIESIAN
SRR20981659,FRIESIAN
SRR6474869,FRIESIAN
SRR6474870,FRIESIAN
SRR6474871,FRIESIAN
SRR6474877,FRIESIAN
SRR6474869,FRIESIAN
SRR6650594,FRIESIAN
SRR516118,JEJU HORSE
SRR12719756,JEJU HORSE
SRR12719759,JEJU HORSE
