breed_name,gene_id,count_breed,count_total,Proportion
TIBETAN,ENSECAG00000059328,1,1,1.0
TIBETAN,ENSECAG00000055519,1,54,0.018518518518518517
THOROUGHBRED,ENSECAG00000055519,13,54,0.24074074074074073
STANDARDBRED,ENSECAG00000055519,4,54,0.07407407407407407
QUARTER HORSE,ENSECAG00000055519,11,54,0.2037037037037037
MONGOLIAN,ENSECAG00000055519,4,54,0.07407407407407407
HANOVERIAN,ENSECAG00000055519,4,54,0.07407407407407407
ARABIAN,ENSECAG00000055519,5,54,0.09259259259259259
AKHAL-TEKE,ENSECAG00000055519,12,54,0.2222222222222222
MONGOLIAN,ENSECAG00000054461,1,1,1.0
TIBETAN,ENSECAG00000051169,7,25,0.28
QUARTER HORSE,ENSECAG00000051169,2,25,0.08
MONGOLIAN,ENSECAG00000051169,8,25,0.32
JEJU HORSE,ENSECAG00000051169,3,25,0.12
FRIESIAN,ENSECAG00000051169,4,25,0.16
FREIBERGER,ENSECAG00000051169,1,25,0.04
HANOVERIAN,ENSECAG00000049815,1,1,1.0
MONGOLIAN,ENSECAG00000048628,2,5,0.4
JEJU HORSE,ENSECAG00000048628,1,5,0.2
AKHAL-TEKE,ENSECAG00000048628,2,5,0.4
THOROUGHBRED,ENSECAG00000038509,1,3,0.3333333333333333
QUARTER HORSE,ENSECAG00000038509,1,3,0.3333333333333333
ARABIAN,ENSECAG00000038509,1,3,0.3333333333333333
TIBETAN,ENSECAG00000038375,3,15,0.2
QUARTER HORSE,ENSECAG00000038375,5,15,0.3333333333333333
MONGOLIAN,ENSECAG00000038375,4,15,0.26666666666666666
JEJU HORSE,ENSECAG00000038375,1,15,0.06666666666666667
FRIESIAN,ENSECAG00000038375,1,15,0.06666666666666667
AKHAL-TEKE,ENSECAG00000038375,1,15,0.06666666666666667
TIBETAN,ENSECAG00000024973,3,29,0.10344827586206896
THOROUGHBRED,ENSECAG00000024973,4,29,0.13793103448275862
STANDARDBRED,ENSECAG00000024973,3,29,0.10344827586206896
QUARTER HORSE,ENSECAG00000024973,1,29,0.034482758620689655
MONGOLIAN,ENSECAG00000024973,2,29,0.06896551724137931
JEJU HORSE,ENSECAG00000024973,4,29,0.13793103448275862
HANOVERIAN,ENSECAG00000024973,1,29,0.034482758620689655
ARABIAN,ENSECAG00000024973,8,29,0.27586206896551724
AKHAL-TEKE,ENSECAG00000024973,3,29,0.10344827586206896
