breed_name,gene_id,count_breed,count_total,Proportion
FRIESIAN,ENSECAG00000060383,1,3,0.3333333333333333
ARABIAN,ENSECAG00000060383,1,3,0.3333333333333333
AKHAL-TEKE,ENSECAG00000060383,1,3,0.3333333333333333
HANOVERIAN,ENSECAG00000060334,2,4,0.5
ARABIAN,ENSECAG00000060334,2,4,0.5
MONGOLIAN,ENSECAG00000060305,1,1,1.0
TIBETAN,ENSECAG00000060227,1,13,0.07692307692307693
QUARTER HORSE,ENSECAG00000060227,1,13,0.07692307692307693
MONGOLIAN,ENSECAG00000060227,1,13,0.07692307692307693
JEJU HORSE,ENSECAG00000060227,1,13,0.07692307692307693
ARABIAN,ENSECAG00000060227,1,13,0.07692307692307693
AKHAL-TEKE,ENSECAG00000060227,8,13,0.6153846153846154
TIBETAN,ENSECAG00000060199,1,25,0.04
THOROUGHBRED,ENSECAG00000060199,1,25,0.04
STANDARDBRED,ENSECAG00000060199,1,25,0.04
MONGOLIAN,ENSECAG00000060199,7,25,0.28
JEJU HORSE,ENSECAG00000060199,5,25,0.2
FREIBERGER,ENSECAG00000060199,4,25,0.16
ARABIAN,ENSECAG00000060199,6,25,0.24
TIBETAN,ENSECAG00000059927,1,1,1.0
ARABIAN,ENSECAG00000059917,1,1,1.0
TIBETAN,ENSECAG00000059772,2,2,1.0
JEJU HORSE,ENSECAG00000059654,2,2,1.0
QUARTER HORSE,ENSECAG00000059652,1,1,1.0
TIBETAN,ENSECAG00000059638,1,2,0.5
MONGOLIAN,ENSECAG00000059638,1,2,0.5
JEJU HORSE,ENSECAG00000059608,1,1,1.0
MONGOLIAN,ENSECAG00000059605,1,1,1.0
TIBETAN,ENSECAG00000059492,4,32,0.125
QUARTER HORSE,ENSECAG00000059492,9,32,0.28125
MONGOLIAN,ENSECAG00000059492,8,32,0.25
JEJU HORSE,ENSECAG00000059492,7,32,0.21875
HANOVERIAN,ENSECAG00000059492,2,32,0.0625
FREIBERGER,ENSECAG00000059492,1,32,0.03125
ARABIAN,ENSECAG00000059492,1,32,0.03125
TIBETAN,ENSECAG00000059328,1,1,1.0
TIBETAN,ENSECAG00000059312,1,8,0.125
MONGOLIAN,ENSECAG00000059312,3,8,0.375
HANOVERIAN,ENSECAG00000059312,1,8,0.125
FREIBERGER,ENSECAG00000059312,1,8,0.125
ARABIAN,ENSECAG00000059312,2,8,0.25
TIBETAN,ENSECAG00000059269,2,36,0.05555555555555555
THOROUGHBRED,ENSECAG00000059269,9,36,0.25
STANDARDBRED,ENSECAG00000059269,6,36,0.16666666666666666
QUARTER HORSE,ENSECAG00000059269,3,36,0.08333333333333333
MONGOLIAN,ENSECAG00000059269,3,36,0.08333333333333333
JEJU HORSE,ENSECAG00000059269,2,36,0.05555555555555555
ARABIAN,ENSECAG00000059269,2,36,0.05555555555555555
AKHAL-TEKE,ENSECAG00000059269,9,36,0.25
TIBETAN,ENSECAG00000059253,4,14,0.2857142857142857
QUARTER HORSE,ENSECAG00000059253,1,14,0.07142857142857142
MONGOLIAN,ENSECAG00000059253,5,14,0.35714285714285715
ARABIAN,ENSECAG00000059253,1,14,0.07142857142857142
AKHAL-TEKE,ENSECAG00000059253,3,14,0.21428571428571427
MONGOLIAN,ENSECAG00000059210,1,1,1.0
TIBETAN,ENSECAG00000059168,1,1,1.0
MONGOLIAN,ENSECAG00000059165,1,1,1.0
THOROUGHBRED,ENSECAG00000059108,11,32,0.34375
STANDARDBRED,ENSECAG00000059108,2,32,0.0625
QUARTER HORSE,ENSECAG00000059108,9,32,0.28125
MONGOLIAN,ENSECAG00000059108,2,32,0.0625
HANOVERIAN,ENSECAG00000059108,2,32,0.0625
FRIESIAN,ENSECAG00000059108,1,32,0.03125
FREIBERGER,ENSECAG00000059108,3,32,0.09375
ARABIAN,ENSECAG00000059108,1,32,0.03125
AKHAL-TEKE,ENSECAG00000059108,1,32,0.03125
TIBETAN,ENSECAG00000058955,15,71,0.2112676056338028
THOROUGHBRED,ENSECAG00000058955,5,71,0.07042253521126761
STANDARDBRED,ENSECAG00000058955,2,71,0.028169014084507043
QUARTER HORSE,ENSECAG00000058955,11,71,0.15492957746478872
