breed_name,gene_id,count_breed,count_total,Proportion
THOROUGHBRED,ENSECAG00000060279,28,84,0.333333333
QUARTER HORSE,ENSECAG00000060279,26,84,0.30952381
MONGOLIAN,ENSECAG00000060279,30,84,0.357142857
THOROUGHBRED,ENSECAG00000060272,10,27,0.37037037
QUARTER HORSE,ENSECAG00000060272,4,27,0.148148148
MONGOLIAN,ENSECAG00000060272,13,27,0.481481481
THOROUGHBRED,ENSECAG00000060241,9,67,0.134328358
QUARTER HORSE,ENSECAG00000060241,26,67,0.388059701
MONGOLIAN,ENSECAG00000060241,32,67,0.47761194
THOROUGHBRED,ENSECAG00000060239,17,64,0.265625
QUARTER HORSE,ENSECAG00000060239,15,64,0.234375
MONGOLIAN,ENSECAG00000060239,32,64,0.5
THOROUGHBRED,ENSECAG00000060169,4,38,0.105263158
QUARTER HORSE,ENSECAG00000060169,7,38,0.184210526
MONGOLIAN,ENSECAG00000060169,27,38,0.710526316
QUARTER HORSE,ENSECAG00000060153,6,16,0.375
MONGOLIAN,ENSECAG00000060153,10,16,0.625
THOROUGHBRED,ENSECAG00000060143,16,54,0.296296296
QUARTER HORSE,ENSECAG00000060143,15,54,0.277777778
MONGOLIAN,ENSECAG00000060143,23,54,0.425925926
THOROUGHBRED,ENSECAG00000060123,9,20,0.45
QUARTER HORSE,ENSECAG00000060123,10,20,0.5
MONGOLIAN,ENSECAG00000060123,1,20,0.05
THOROUGHBRED,ENSECAG00000060107,13,39,0.333333333
QUARTER HORSE,ENSECAG00000060107,20,39,0.512820513
MONGOLIAN,ENSECAG00000060107,6,39,0.153846154
THOROUGHBRED,ENSECAG00000060093,1,24,0.041666667
QUARTER HORSE,ENSECAG00000060093,14,24,0.583333333
MONGOLIAN,ENSECAG00000060093,9,24,0.375
THOROUGHBRED,ENSECAG00000060045,1,22,0.045454545
QUARTER HORSE,ENSECAG00000060045,12,22,0.545454545
MONGOLIAN,ENSECAG00000060045,9,22,0.409090909
THOROUGHBRED,ENSECAG00000060038,4,26,0.153846154
QUARTER HORSE,ENSECAG00000060038,6,26,0.230769231
MONGOLIAN,ENSECAG00000060038,16,26,0.615384615
QUARTER HORSE,ENSECAG00000060007,5,18,0.277777778
MONGOLIAN,ENSECAG00000060007,13,18,0.722222222
THOROUGHBRED,ENSECAG00000059960,21,53,0.396226415
QUARTER HORSE,ENSECAG00000059960,9,53,0.169811321
MONGOLIAN,ENSECAG00000059960,23,53,0.433962264
THOROUGHBRED,ENSECAG00000059928,12,38,0.315789474
QUARTER HORSE,ENSECAG00000059928,5,38,0.131578947
MONGOLIAN,ENSECAG00000059928,21,38,0.552631579
THOROUGHBRED,ENSECAG00000059918,10,46,0.217391304
QUARTER HORSE,ENSECAG00000059918,24,46,0.52173913
MONGOLIAN,ENSECAG00000059918,12,46,0.260869565
THOROUGHBRED,ENSECAG00000059864,11,26,0.423076923
QUARTER HORSE,ENSECAG00000059864,4,26,0.153846154
MONGOLIAN,ENSECAG00000059864,11,26,0.423076923
THOROUGHBRED,ENSECAG00000059833,19,48,0.395833333
QUARTER HORSE,ENSECAG00000059833,18,48,0.375
MONGOLIAN,ENSECAG00000059833,11,48,0.229166667
THOROUGHBRED,ENSECAG00000059658,13,45,0.288888889
QUARTER HORSE,ENSECAG00000059658,9,45,0.2
MONGOLIAN,ENSECAG00000059658,23,45,0.511111111
THOROUGHBRED,ENSECAG00000059646,6,15,0.4
QUARTER HORSE,ENSECAG00000059646,3,15,0.2
MONGOLIAN,ENSECAG00000059646,6,15,0.4
THOROUGHBRED,ENSECAG00000059643,26,85,0.305882353
QUARTER HORSE,ENSECAG00000059643,27,85,0.317647059
MONGOLIAN,ENSECAG00000059643,32,85,0.376470588
THOROUGHBRED,ENSECAG00000059631,20,50,0.4
QUARTER HORSE,ENSECAG00000059631,17,50,0.34
MONGOLIAN,ENSECAG00000059631,13,50,0.26
THOROUGHBRED,ENSECAG00000059596,3,17,0.176470588
QUARTER HORSE,ENSECAG00000059596,10,17,0.588235294
MONGOLIAN,ENSECAG00000059596,4,17,0.235294118
THOROUGHBRED,ENSECAG00000059587,10,20,0.5
QUARTER HORSE,ENSECAG00000059587,7,20,0.35
MONGOLIAN,ENSECAG00000059587,3,20,0.15
QUARTER HORSE,ENSECAG00000059549,5,15,0.333333333
MONGOLIAN,ENSECAG00000059549,10,15,0.666666667
THOROUGHBRED,ENSECAG00000059544,7,20,0.35
QUARTER HORSE,ENSECAG00000059544,7,20,0.35
MONGOLIAN,ENSECAG00000059544,6,20,0.3
