breed_name,gene_id,count_breed,count_total,Proportion
TIBETAN,ENSECAG00000060142,2,5,0.4
QUARTER HORSE,ENSECAG00000060142,1,5,0.2
MONGOLIAN,ENSECAG00000060142,1,5,0.2
ARABIAN,ENSECAG00000060142,1,5,0.2
MONGOLIAN,ENSECAG00000053799,1,1,1.0
THOROUGHBRED,ENSECAG00000046751,3,7,0.42857142857142855
QUARTER HORSE,ENSECAG00000046751,2,7,0.2857142857142857
HANOVERIAN,ENSECAG00000046751,1,7,0.14285714285714285
ARABIAN,ENSECAG00000046751,1,7,0.14285714285714285
QUARTER HORSE,ENSECAG00000046589,1,1,1.0
TIBETAN,ENSECAG00000040891,7,77,0.09090909090909091
THOROUGHBRED,ENSECAG00000040891,18,77,0.23376623376623376
STANDARDBRED,ENSECAG00000040891,7,77,0.09090909090909091
QUARTER HORSE,ENSECAG00000040891,10,77,0.12987012987012986
MONGOLIAN,ENSECAG00000040891,7,77,0.09090909090909091
JEJU HORSE,ENSECAG00000040891,1,77,0.012987012987012988
HANOVERIAN,ENSECAG00000040891,6,77,0.07792207792207792
FRIESIAN,ENSECAG00000040891,6,77,0.07792207792207792
FREIBERGER,ENSECAG00000040891,1,77,0.012987012987012988
ARABIAN,ENSECAG00000040891,9,77,0.11688311688311688
AKHAL-TEKE,ENSECAG00000040891,5,77,0.06493506493506493
MONGOLIAN,ENSECAG00000040395,3,8,0.375
AKHAL-TEKE,ENSECAG00000040395,5,8,0.625
MONGOLIAN,ENSECAG00000035068,1,1,1.0
TIBETAN,ENSECAG00000034395,3,16,0.1875
THOROUGHBRED,ENSECAG00000034395,3,16,0.1875
MONGOLIAN,ENSECAG00000034395,2,16,0.125
HANOVERIAN,ENSECAG00000034395,1,16,0.0625
FRIESIAN,ENSECAG00000034395,1,16,0.0625
AKHAL-TEKE,ENSECAG00000034395,6,16,0.375
TIBETAN,ENSECAG00000020761,1,2,0.5
JEJU HORSE,ENSECAG00000020761,1,2,0.5
MONGOLIAN,ENSECAG00000018471,1,1,1.0
TIBETAN,ENSECAG00000013764,1,1,1.0
MONGOLIAN,ENSECAG00000010439,1,1,1.0
MONGOLIAN,ENSECAG00000009007,1,1,1.0
STANDARDBRED,ENSECAG00000000458,1,1,1.0
