breed_name,gene_id,count_breed,count_total,Proportion
TIBETAN,ENSECAG00000060142,2,5,0.4
QUARTER HORSE,ENSECAG00000060142,1,5,0.2
MONGOLIAN,ENSECAG00000060142,1,5,0.2
ARABIAN,ENSECAG00000060142,1,5,0.2
THOROUGHBRED,ENSECAG00000060016,3,7,0.42857142857142855
QUARTER HORSE,ENSECAG00000060016,2,7,0.2857142857142857
HANOVERIAN,ENSECAG00000060016,1,7,0.14285714285714285
ARABIAN,ENSECAG00000060016,1,7,0.14285714285714285
QUARTER HORSE,ENSECAG00000059928,1,1,1.0
TIBETAN,ENSECAG00000059907,7,42,0.16666666666666666
THOROUGHBRED,ENSECAG00000059907,7,42,0.16666666666666666
STANDARDBRED,ENSECAG00000059907,1,42,0.023809523809523808
QUARTER HORSE,ENSECAG00000059907,4,42,0.09523809523809523
MONGOLIAN,ENSECAG00000059907,6,42,0.14285714285714285
JEJU HORSE,ENSECAG00000059907,5,42,0.11904761904761904
HANOVERIAN,ENSECAG00000059907,3,42,0.07142857142857142
FRIESIAN,ENSECAG00000059907,2,42,0.047619047619047616
FREIBERGER,ENSECAG00000059907,5,42,0.11904761904761904
ARABIAN,ENSECAG00000059907,1,42,0.023809523809523808
AKHAL-TEKE,ENSECAG00000059907,1,42,0.023809523809523808
TIBETAN,ENSECAG00000059152,1,52,0.019230769230769232
THOROUGHBRED,ENSECAG00000059152,11,52,0.21153846153846154
STANDARDBRED,ENSECAG00000059152,5,52,0.09615384615384616
QUARTER HORSE,ENSECAG00000059152,7,52,0.1346153846153846
MONGOLIAN,ENSECAG00000059152,8,52,0.15384615384615385
JEJU HORSE,ENSECAG00000059152,6,52,0.11538461538461539
HANOVERIAN,ENSECAG00000059152,3,52,0.057692307692307696
FREIBERGER,ENSECAG00000059152,3,52,0.057692307692307696
ARABIAN,ENSECAG00000059152,5,52,0.09615384615384616
AKHAL-TEKE,ENSECAG00000059152,3,52,0.057692307692307696
MONGOLIAN,ENSECAG00000058062,1,1,1.0
THOROUGHBRED,ENSECAG00000057806,2,34,0.058823529411764705
QUARTER HORSE,ENSECAG00000057806,11,34,0.3235294117647059
MONGOLIAN,ENSECAG00000057806,6,34,0.17647058823529413
HANOVERIAN,ENSECAG00000057806,1,34,0.029411764705882353
FRIESIAN,ENSECAG00000057806,9,34,0.2647058823529412
ARABIAN,ENSECAG00000057806,4,34,0.11764705882352941
AKHAL-TEKE,ENSECAG00000057806,1,34,0.029411764705882353
MONGOLIAN,ENSECAG00000057392,1,1,1.0
MONGOLIAN,ENSECAG00000056641,1,1,1.0
MONGOLIAN,ENSECAG00000055803,1,1,1.0
MONGOLIAN,ENSECAG00000055761,1,2,0.5
ARABIAN,ENSECAG00000055761,1,2,0.5
TIBETAN,ENSECAG00000054774,2,28,0.07142857142857142
THOROUGHBRED,ENSECAG00000054774,2,28,0.07142857142857142
QUARTER HORSE,ENSECAG00000054774,6,28,0.21428571428571427
MONGOLIAN,ENSECAG00000054774,5,28,0.17857142857142858
JEJU HORSE,ENSECAG00000054774,1,28,0.03571428571428571
HANOVERIAN,ENSECAG00000054774,1,28,0.03571428571428571
FRIESIAN,ENSECAG00000054774,3,28,0.10714285714285714
FREIBERGER,ENSECAG00000054774,2,28,0.07142857142857142
ARABIAN,ENSECAG00000054774,3,28,0.10714285714285714
AKHAL-TEKE,ENSECAG00000054774,3,28,0.10714285714285714
QUARTER HORSE,ENSECAG00000054624,1,1,1.0
MONGOLIAN,ENSECAG00000053799,1,1,1.0
TIBETAN,ENSECAG00000052345,1,1,1.0
MONGOLIAN,ENSECAG00000051385,1,1,1.0
MONGOLIAN,ENSECAG00000051276,2,2,1.0
TIBETAN,ENSECAG00000050855,7,77,0.09090909090909091
THOROUGHBRED,ENSECAG00000050855,18,77,0.23376623376623376
STANDARDBRED,ENSECAG00000050855,7,77,0.09090909090909091
QUARTER HORSE,ENSECAG00000050855,10,77,0.12987012987012986
MONGOLIAN,ENSECAG00000050855,7,77,0.09090909090909091
JEJU HORSE,ENSECAG00000050855,1,77,0.012987012987012988
HANOVERIAN,ENSECAG00000050855,6,77,0.07792207792207792
FRIESIAN,ENSECAG00000050855,6,77,0.07792207792207792
FREIBERGER,ENSECAG00000050855,1,77,0.012987012987012988
ARABIAN,ENSECAG00000050855,9,77,0.11688311688311688
AKHAL-TEKE,ENSECAG00000050855,5,77,0.06493506493506493
